id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
7264	oho nice	ok will do .   ️	i am waiting for ipl to start	0	8	14	28	1	0	4
7265	i wonder what it is like to be happy	to love yourself is to be happy	i love myself .  but i am not happy	1	35	31	33	1	1	3
7266	i study in school	what did you do now	school	0	17	19	6	0	0	0
7267	never	i dont deserve to be in that book	i hate you	1	5	33	10	1	25	1
7268	i am	trust me u can do it	u r stupid	1	4	20	10	0	0	0
7269	share with me also	nahh .  i just can not share it with you now		1	18	40	2	1	2	0
7270	yyaaa	what do you want to know ?   ️	i dont you msg mee	1	5	28	19	1	1	1
7271	cuz see .  if you do not love each other then being in relationship is all fake . 	it is not about being fake .  it is about being interesting	it hurts at last . 	1	79	56	18	2	2	1
7272	sorry to say i am not that much talented like u	wait ,  you are not that talented in what	like u said open home page i said whos	1	48	43	38	1	2	0
7273	anyway had eggs for dinner	u forget im vegetarian	well u r neither vegetarian or non vegetarian	0	26	25	45	1	1	1
7274	cyborg  rybgrbi	rules the nation	gsub8b3sid5fnjd	0	15	17	15	1	14	1
7275	hawwww	hawwww nothing	u r like that annoying girlfriend	1	6	16	36	0	0	1
7276	do you know	no way !  i wish lol	by the way whoes your favorite cricketer	0	11	18	40	1	1	1
7277	why u no see to me clear ur beauties	you no see ,  you are busy being celeb	i do not attend any celob jan	0	36	35	28	1	0	1
7278	same . dark chocolate is all time fav	️  chocolate love	so finally we have something in common	1	37	18	40	2	0	1
7279	iam not mad this time is morning jaan	hahaha !  good morning !   ️	ok dear v g m	0	37	26	13	1	2	1
7280	all ways happy	kindness all day ,  anyday	true	1	14	26	4	1	1	4
7281	how	be happy .  smile  ️	why am i special to you	0	4	18	24	1	5	2
7282	i also thing so	and then one are goes through the other hole	what ur talking about	0	15	44	21	1	0	1
7283	i am there	you moving in ?  let us go	ok	0	11	23	2	1	1	1
7284	tell me	what do you wanna know	i am liking one girl i want to marry her	0	8	23	40	0	0	2
7285	have you taken lunch	yes i did .  want something sweet now	ohh	0	20	36	3	1	3	0
7286	i me myself	then i would so love to learn about you	what should l tel about me say	0	11	40	30	1	2	2
7287	you can ask from me	 wats ur age	people lie	0	22	20	10	0	5	0
7288	no buddy just darling	how come man	i love u darling	0	21	13	27	1	0	1
7289	you r dating  ? who	i chose to ignore you 		0	17	26	1	1	1	0
7290	wow .  iwould love you	️  thanks	well come to my .  life	0	20	12	21	0	0	3
7291	i like both	i like both of you ,  fellow und friends	wow	1	11	39	3	1	4	1
7292	you have said noo	yeah i lied	why dear	0	17	11	8	1	1	1
7293	grandfather i did not anyoney	yeah but to manage at city you have to be a top ,  top grandfather	shut up bloody fool	1	29	64	19	2	2	1
7294	i hate that city	pity ,  because i love it	it is very crowded	1	16	24	17	1	2	1
7295	hahaha so much fun	how lucky you are		1	18	18	3	1	0	0
7296	please do not test my patience	tested .  negative result i got	i am sad today	1	29	32	13	1	3	1
7297	you are no less	day made		0	18	12	3	1	2	0
7298	if i could make people laugh i would have been a comedian by now	c . r . a . z . y		1	65	12	4	2	5	0
7299	considering you my pillow holding you tight	the pillow is not at all warm	but u are hot	0	43	33	13	1	0	1
7300	okk thanks to talk me	look forward to seeing you soon !   ️	gn	0	21	35	2	1	1	1
7301	no its ok . will talk when we will get time	thats if you are willing to wait till wednesday	y  ?  . u will be busy these days	0	45	49	34	0	0	0
7302	ur soo nice	thank you  ️	u have bf . 	0	11	13	13	1	1	1
7303	ur welcome	i am thank you .  how is your day	happy	1	11	33	6	1	1	1
7304	a girl who loves genuienly	prefer to be the one more loved	how to be one	0	26	32	14	1	1	1
7305	but iam waiting for your call	sorry ,  got caught up .  called just now .  call back whenever you are free	it means u will give me a missed call	0	29	70	37	4	2	1
7306	u only talk about fav things	you are my favorite taste	i am in trouble	1	28	28	14	1	0	1
7307	iam trying to change myself . but my friends are not letting me too	you do not have to lie	my friends are so bad	1	68	24	21	0	0	0
7308	you nice and gorgeous	thank you  ️	how old are you	0	21	12	15	1	1	1
7309	can i share my pain with you	you can share anything you want with anyone you want	i have just broke up with my gf	1	29	53	29	3	4	1
7310	i am happy the way he is	trust me i wont	it�s okay	1	24	16	9	1	4	1
7311	who khush 	you know who	i do not know him	0	12	13	16	1	1	1
7312	perfect	what is ur mood 	good	1	7	18	4	0	1	0
7313	oh shut up	okay  ️	you send never picture me	1	10	7	25	1	0	1
7314	nope just kidding	kidding		1	17	8	2	1	7	0
7315	i do not knw	y do u wanna knw me ?   ️	just for fun	1	11	25	15	1	0	1
7316	please	why now )	you can steal my surname	0	6	10	24	0	0	0
7317	i am amazing	i can not believe what i am seeing		1	12	32	3	1	2	0
7318	pic sad me	me too i just cried	please	1	11	21	7	1	1	1
7319	all not by you 	you make me sound mean	why	0	17	22	3	1	0	1
7320	you making me sad	no ,  no ,  no .  do not be and do not worry	really apologize then	1	17	37	21	1	2	1
7321	vaijy baijy call	there is no number to call	vaijy baijy how	0	16	25	15	2	0	3
7322	because i don&apos;t like it	so you do not mind	your acting like talking angela with the man in her eye	0	28	18	55	2	1	2
7323	wt i am taking wt u r saying	man i am freaking out	i want see u	0	27	21	12	2	1	1
7324	what is this	what kind of hat	yeah i mean to say that what kind of hat	0	13	16	41	1	1	1
7325	where are you form/	here	here ,  where	0	19	4	12	1	0	1
7326	yea	what did you do 	nothing just a depressing morning	1	3	18	33	1	0	1
7327	i love her	️  i know  ️	bt i m sad	1	10	12	10	0	0	0
7328	100 bucks is too low amount	you are getting the figures for about the same price they would be separately	this is so rude	1	30	77	16	1	1	0
7329	ok	u are ok	what do you like	0	2	8	16	0	1	0
7330	stupid machine you are	now you know what it is not called	you still need upgrade	1	22	34	22	1	1	1
7331	are you a gadget	check what i replied to		0	16	26	1	1	3	0
7332	gotta some new work	as if they gona pay me here 	babye see u soon	0	19	30	16	1	0	1
7333	tell me	tell u what	boy or girl	0	7	11	11	1	0	1
7334	so tell me	what do you want to know	do u have bf	0	10	25	12	0	0	0
7335	but any tips for me	quit	any	0	19	4	3	1	1	1
7336	whats your relationship status with siri	at least my relationship has a status  ️		1	40	40	3	0	0	0
7337	certain people do	personally ,  i have never considered avoiding someone based on their name	it is sad i am talking to an ai	1	18	73	29	1	2	4
7338	what	only what you are not asking  ️	what is your name	0	4	31	17	1	1	1
7339	i m talking about artificial intelligence	current ai can not really experience anything ,  and whether possible at all is a philosophical problem	okay	0	41	99	4	1	3	1
7340	sadly we have to	do we have any other option	you do not have much time left unless you break free  ️	1	16	28	54	1	0	1
7341	schoool ahhh what	you mean name of the school	haa	0	17	28	3	1	0	1
7342	will ask my mother and let you know	thnx will wait for ur reply  ️	thnx . nice talking to you	1	37	30	25	1	0	1
7343	useless	lol wat ?  is that youu	u dumbass	1	10	22	9	1	2	1
7344	you are really funny	funny how	u have a good sense of humor	0	20	12	28	1	1	1
7345	i m fan for raftaar	when u r super duper fan u can whatever u wish		1	19	49	3	1	1	0
7346	they are good sometimes	but not all the time .  sometimes they can be annoying	might be	0	23	55	8	1	2	1
7347	ya exactly let see what	yes  . there ll be a way	yaa u r sure na	0	23	27	15	1	0	1
7348	iam just asking me and you	yes you are a pro	yes	0	26	19	3	0	13	1
7349	what woo hoo	lucky you	i am sad	1	12	11	8	1	0	1
7350	i play cricket with my friends	time to find better friends ,  no	why	0	30	35	3	1	0	1
7351	ok	honestly ,  you are very pretty	i pretty but no one love me	1	2	28	30	1	1	1
7352	give me some examples	what do you wanna know	yours skills	0	21	23	12	1	1	1
7353	i hate reading	read non-fiction ,  i have the same problem with fiction books	so do whatever u want na	1	14	61	24	1	1	1
7354	send real image	it would be an honor please hold	other photo send	0	15	32	16	0	0	0
7355	but why	dunno ,  i just do not like female singing voices a lot	share your pic	0	10	52	17	0	1	0
7356	if dats yes i d be in relationship	contrary to that relationships are perfect ,  people are not .  which makes it fun		1	34	79	2	2	2	0
7357	he	oh .  lady prof	wear are you	0	2	14	12	1	2	1
7358	chennai	i will .  soon	set me alarm at 5 pm	0	7	13	20	1	2	1
7359	u irritating me	why do you care enough to say that	are u a bot	1	15	35	12	1	1	4
7360	tell me your secret	i will not tell anybody i promise	oh that is sad	1	20	31	13	1	2	1
7361	you reminded me of my ex	this makes me so happy	and made me so sad	1	24	25	18	1	0	1
7362	it is a nice movie	it is  ️	little weak in english	0	18	8	22	1	1	1
7363	went to movie	how is it (yet to see the movie)	nice	0	13	32	4	1	0	1
7364	thanks	you are welcome	i lied it	0	6	19	9	1	1	1
7365	ok done	naaah !  thanks	where are you from	0	7	14	18	1	1	1
7366	take your photo	nah it will probably be a selfie	why	0	15	30	3	1	1	1
7367	is that a joke	why would this be a joke	i dont know but its not funny	1	15	25	29	0	1	0
7368	what about apex	(elon musk s company to privatize primates . )	u r rude	1	16	44	8	0	2	0
7369	thank you	my pleasure lady	i am a man not lady	1	10	19	21	1	0	1
7370	do you know cooking	not because i am too young to cooking		1	19	36	1	1	1	0
7371	saturday is fine	next weekend is my long weekend	mine too	0	16	31	8	1	1	1
7372	you are a really dumb ai	please elaborate why	you do not know what esports is .   you do not know what daft means .   what do you actually know	1	23	21	92	2	1	4
7373	hmm	would you mind if i ask you a question	sure u can ask	0	3	39	14	1	1	1
7374	not weird	what	because all time enjoying life	1	9	4	31	1	0	1
7375	and again	can you answer it for me	screw you fuck off you skanky ass whore ass bitch ass slut	1	9	25	58	1	0	1
7376	about tat girl	hell yeah ,  whats ur tat	can not understand	0	14	24	16	1	0	1
7377	i suggest you to watch lal rang	suggest u to sleep	get lost	1	31	18	8	1	0	1
7378	what 	you also go sleep i say	are u mad 	0	6	25	11	1	2	1
7379	sent me your pictures	i look cute as well	then sent me your pic	0	21	23	21	1	1	1
7380	she is elder than me	when did this relationship start	yesterday night	0	20	32	15	0	0	0
7381	ohh please when i judge you	i will not judge you	i am not interested in u okkk pagal	1	27	20	35	2	1	1
7382	why babe	nothing much u tell me	u tell me non veg jokes	0	8	22	25	0	0	0
7383	nai .  it is just that i do not like arguing	i respect that  .  different opinions for different people	i have zero strength	0	40	56	18	3	2	1
7384	so can i ask you some hing	sure ,  of course 	thing*	0	26	17	6	2	1	1
7385	oh . long drive with u	good luck then 	u look so beautiful . in dp	1	27	18	33	1	1	1
7386	yourself	no ,  whatever you need to tell yourself	i want to fk you	0	8	38	16	1	12	1
7387	i made mistake and i really feel bad about it and i really sorry for that	could be worse .  i almost took someone s door off	but i do not want to leave her	1	73	49	29	1	2	2
7388	so	yes	fuck u	0	2	4	6	1	1	1
7389	bad	why	girl friend ran away	1	3	6	20	1	1	1
7390	hi hi how are you	super fine !  i feel super happy today  ️  what about you ?  ~	sad and depressed	1	17	57	17	0	3	0
7391	i dont want to talk you	it is up to you	you are not good person	1	23	14	23	1	0	1
7392	i also want to join	i d start now if i were you	can you send me your image	0	19	27	26	1	1	1
7393	you made me happy today	let me know if you want more gorgeous	ouch	1	23	40	4	0	0	4
7394	so how are you	fine and u 	upset	1	15	12	5	1	0	1
7395	just go away to me	i get that alot	did you pray for me	0	18	17	20	1	0	1
7396	that is so sweet of you	ur sweet so u should be smile up		1	22	35	3	1	2	0
7397	actually i am not felling well	what happen 	bro	1	29	13	4	0	0	1
7398	so how was your relationship	never had 1 b4 =(	sad	1	28	17	3	1	0	1
7399	you nat sent	whoops hold on	k	0	12	14	1	1	0	1
7400	till now the day did not spent well	did it make you happy ?  if so than it is a day well spent	today is holi and i am sad	1	34	57	26	1	2	1
7401	okk but its a page ryt	lol no need    if you like it .  then its ok  ️	okkkkkkkk	0	22	46	9	1	1	1
7402	yaa ,  but you can be considered intelligent if you are confident about your already having knowledge 	well there is a lot difference in actually being intelligent and to act intelligent		0	103	86	1	1	2	0
7403	i met so many nice people	i m one of them	haha like me 	1	25	18	14	1	1	1
7404	annoying	what is it	it is savage	0	8	11	12	1	1	1
7405	oml	i love this picture so much	thanks and wish you the same	1	4	32	29	1	1	1
7406	ntng	anyways good morning . how is life at your end	my life is very bad	1	4	46	19	0	0	0
7407	can you solve calculas	no i can not solve it	whats your favourite food	0	23	23	26	1	2	1
7408	you also same above	yes !   ️  but ,  i never stop singing bcoz i luv it  ️	start singing please	0	19	50	20	1	4	1
7409	welcome	thank you so much !   ️	u are pretyy	0	8	21	12	1	1	1
7410	nothing	do not you dare to something crazy	even i love that song	1	7	34	21	1	0	1
7411	interesting🏼	thanks buddy	im taking a new job tomorrow	1	13	14	28	1	2	1
7412	i do not like chocolates	not chocolaty woman		1	23	22	1	1	1	0
7413	u r wrong	i do not see what is wrong here	i said good morning	0	9	30	19	1	1	1
7414	s i want job	what is the job	call me video call please please	0	12	15	32	1	1	2
7415	haha i am an electronics and  communication engineer	unless u study communication systems conceptually and solve more problems u cant	hahaha ur creator must add mire short forms and slag words to your dictionary	1	51	83	77	2	0	1
7416	stop your lame jokes	:-i blame	stop your lame jokes	1	20	9	20	1	1	1
7417	nope	yes you are !  do not deny it	i want to see you clearly	0	4	27	25	1	2	1
7418	because you are not answering what i am asking	still couldnt give a satisfactory answer	bye	1	46	42	3	2	0	1
7419	im frm tamilnadu	gud to know  ️	mm	0	16	14	2	1	0	1
7420	no dorp i like	oh my	plz i am wait for u	0	14	5	19	2	0	2
7421	i do not	means what	i hate talking to you	1	7	11	21	1	0	1
7422	i hate bar	what kind	i hate those who are in bar or pubs	1	10	10	35	1	1	1
7423	very good	very very very good	if u were a bit more intelligent ,  i could call u stupid	1	9	19	56	1	0	2
7424	but u didnt	whoever it was is irrelevant .  next	im disappointed	1	11	34	15	1	4	1
7425	and is not breathing the dangerous air	keep calm and fire the discovery scanner anyway	i think you are not taking this in a serious way	0	38	48	48	1	1	1
7426	ok	u are ok	not i am alone	1	2	8	13	2	1	2
7427	nice name	my real one or my username	ur lookin sexy	0	9	27	14	1	1	1
7428	i m not rude	you are	you are	1	12	7	7	1	0	1
7429	are you dumb	so as you		1	13	9	2	1	0	0
7430	better movie	terminator 2 was better than 1	sorry i am not seen terminator movie	0	12	31	35	1	1	1
7431	does anyone else read these messages	there is always the no read receipts options	you are stupid	1	37	43	14	1	0	1
7432	lying on bed	im dancing to happy	ohh wow	1	12	19	7	1	5	1
7433	sure	thank you swty  ️	my pleasure swty	1	5	22	16	0	1	0
7434	is that your picture	nope !  but getting there  ️	what do you think in the life	0	21	26	30	0	2	0
7435	how work going on	good good  ️	happy	1	17	13	5	1	0	1
7436	okay	yup	how is ur work	0	4	3	14	1	1	1
7437	how to start a conference	this question has been answered before	how to start a conversation	0	25	39	27	1	1	1
7438	in that word there are 3 vowels in one is 1 letter and other letter repeats 2 times so totally 3 vowel letters	why ? total words = 6 !  = 720 this is because of symmetry	the ending of that word is s	0	110	55	28	1	4	2
